latitude;longitude;title;text;rating;image
52.161970089412556;4.484630945127542;El Gaucho;Amazing grilled meat. The empanadas are a bit costly, but very much worth it. Heavily recommended for those seeking a more formal style of dinner;4;empanadas.jpeg
52.16294805799125;4.484440664829482;X falafel;Best arab place in town. Affordable prices and tasty food. The Crispy kip broodje is especially recommended. Students get 10% discount;5;X-Falafel.png
52.16284763059071;4.484968637263583;M Noodle Bar;Very good ramen and fast service. Very little but charming place. Be warned: this place does not have a lot of tables and it gets full quite quickly, so it is better to make a reservation;5;ramen.jpg.webp
52.16286256892617;4.485263831974263;Pannenkoekenhuis de Schaapsbel;Good Dutch traditional pancakes for decent prices;3;pancakes.jpg
52.164389547951295;4.48439113576243;Curry Time;Good Thai food. The prices are affordable and the staff is nice. I recommend getting the green curry or the phad thai;4;phad_thai.jpg
52.1618795670491;4.483507960448185;Ramen55;Authentic Japanese-ran restaurant with the best ramen in Leiden. Slightly more expensive than M Noodle Bar, but heavily recommended;5;ramen55.jpg
52.16155888753046;4.485931999796596;GP__D deli pies & coffee Co.;Delicious Greek pastries. Good place to go for coffee and sweets;4;baklava.jpeg
52.16090781795985;4.489722913962878;India Way;Average-quality Indian food for high prices;2;curry.JPG
52.15934952726588;4.4904101915586665;Waag;Good restaurant with a stunning interior design;4;waag.jpg
52.15829744650886;4.4919984040807055;Einstein;Bar with good ambience and a good view of the canal;4;heineken.png
52.15820369976071;4.492675335816173;Bocconi Pasta Italiana;Best Italian restaurant in Leiden. Very good pasta. Very little but charming place. Be warned: this place does not have a lot of tables and it gets full quite quickly, so it is better to make a reservation;5;gnocchi.jpg
52.15683282712531;4.494114014090772;Delphi;Greek restaurant with a charming interior, kind staff and a very friendly cat. Be warned: the rations are very generous, so do not go here alone if you with to survive;5;mousaka.jpg
52.15753395122246;4.491345348601624;Home Toward Hand Pulled Lanzhou Noodles;Chinese noodle restaurant with good prices. The food is acceptable, but not the best in Leiden;3;noodles.jpeg
52.16350603137221;4.486250670131246;Hudson;Good burger place with adequate prices;4;burger.png
52.158639077405695;4.488100452128974;Woo Ping;Best Chinese restaurant in Leiden. The roasted duck is exquisite;5;duck.jpg
52.15824739051818;4.48970922513068;Bistro Noroc by Jarko;Charming little restaurant with good food and very kind staff. Photo taken by Michelle Zheng, available on Google Maps;4;noroc.PNG
52.15670691521361;4.493661932971041;Mamie Gourmande;French bakery with exquisite pastries. It is the best bakery in Leiden by far. I especially recommend the croissants;5;croissant.jpeg
